开盘价-0,最高价-1,最低价-2,收盘价-3,前收盘价-4,成交量-5,成交额-6,持仓量-7,流通盘-8,总股本-9,时间戳-G,序号-Q,当日除权系数-a,总的除权系数-b,停牌周期数-c,今结算-d
8.74,8.75,8.71,8.72,8.73, 8870L,7752633.74,0, 17170246773L, 17170411366L, 2018-07-17 09:31:00, 20L,1,1,0,0
8.71,8.72,8.7,8.71,8.72, 3568L,3108155,0, 17170246773L, 17170411366L, 2018-07-17 09:32:00, 39L,1,1,0,0
8.72,8.74,8.71,8.73,8.71, 3592L,3133160,0, 17170246773L, 17170411366L, 2018-07-17 09:33:00, 59L,1,1,0,0
8.73,8.74,8.72,8.73,8.73, 1349L,1177535,0, 17170246773L, 17170411366L, 2018-07-17 09:34:00, 77L,1,1,0,0
8.72,8.74,8.72,8.73,8.73, 1655L,1444545,0, 17170246773L, 17170411366L, 2018-07-17 09:35:00, 97L,1,1,0,0
8.73,8.73,8.72,8.72,8.73, 3299L,2877744,0, 17170246773L, 17170411366L, 2018-07-17 09:36:00, 116L,1,1,0,0
8.72,8.73,8.71,8.71,8.72, 2663L,2321457,0, 17170246773L, 17170411366L, 2018-07-17 09:37:00, 136L,1,1,0,0
8.72,8.73,8.71,8.73,8.71, 1902L,1657972,0, 17170246773L, 17170411366L, 2018-07-17 09:38:00, 156L,1,1,0,0
8.72,8.73,8.71,8.72,8.73, 1457L,1269555,0, 17170246773L, 17170411366L, 2018-07-17 09:39:00, 174L,1,1,0,0
8.71,8.72,8.7,8.71,8.72, 1980L,1724548,0, 17170246773L, 17170411366L, 2018-07-17 09:40:00, 192L,1,1,0,0
8.7,8.71,8.7,8.71,8.71, 1723L,1500279,0, 17170246773L, 17170411366L, 2018-07-17 09:41:00, 212L,1,1,0,0
8.71,8.71,8.7,8.71,8.71, 1630L,1418767,0, 17170246773L, 17170411366L, 2018-07-17 09:42:00, 231L,1,1,0,0
8.71,8.71,8.7,8.7,8.71, 1912L,1664471,0, 17170246773L, 17170411366L, 2018-07-17 09:43:00, 248L,1,1,0,0
8.71,8.72,8.7,8.71,8.7, 4496L,3915738,0, 17170246773L, 17170411366L, 2018-07-17 09:44:00, 266L,1,1,0,0
8.71,8.71,8.7,8.71,8.71, 2876L,2502801,0, 17170246773L, 17170411366L, 2018-07-17 09:45:00, 285L,1,1,0,0
8.7,8.7,8.69,8.7,8.71, 4906L,4266559,0, 17170246773L, 17170411366L, 2018-07-17 09:46:00, 304L,1,1,0,0
8.69,8.7,8.68,8.68,8.7, 4124L,3583343,0, 17170246773L, 17170411366L, 2018-07-17 09:47:00, 322L,1,1,0,0
8.68,8.69,8.68,8.69,8.68, 3546L,3079550,0, 17170246773L, 17170411366L, 2018-07-17 09:48:00, 342L,1,1,0,0
8.7,8.7,8.68,8.69,8.69, 2273L,1975467,0, 17170246773L, 17170411366L, 2018-07-17 09:49:00, 360L,1,1,0,0
8.69,8.69,8.68,8.68,8.69, 2579L,2239597,0, 17170246773L, 17170411366L, 2018-07-17 09:50:00, 380L,1,1,0,0
8.69,8.69,8.68,8.69,8.68, 1678L,1457466,0, 17170246773L, 17170411366L, 2018-07-17 09:51:00, 399L,1,1,0,0
8.69,8.7,8.69,8.7,8.69, 2060L,1790308,0, 17170246773L, 17170411366L, 2018-07-17 09:52:00, 417L,1,1,0,0
8.7,8.7,8.69,8.7,8.7, 1648L,1433098,0, 17170246773L, 17170411366L, 2018-07-17 09:53:00, 437L,1,1,0,0
8.7,8.72,8.69,8.71,8.7, 3858L,3358610.4,0, 17170246773L, 17170411366L, 2018-07-17 09:54:00, 456L,1,1,0,0
8.7,8.71,8.69,8.69,8.71, 1995L,1735691,0, 17170246773L, 17170411366L, 2018-07-17 09:55:00, 474L,1,1,0,0
8.69,8.7,8.69,8.69,8.69, 1826L,1587470,0, 17170246773L, 17170411366L, 2018-07-17 09:56:00, 491L,1,1,0,0
8.7,8.71,8.69,8.71,8.69, 2522L,2193644,0, 17170246773L, 17170411366L, 2018-07-17 09:57:00, 509L,1,1,0,0
8.7,8.7,8.69,8.7,8.71, 1351L,1175639,0, 17170246773L, 17170411366L, 2018-07-17 09:58:00, 528L,1,1,0,0
8.69,8.7,8.69,8.7,8.7, 1218L,1059254,0, 17170246773L, 17170411366L, 2018-07-17 09:59:00, 548L,1,1,0,0
8.69,8.69,8.67,8.67,8.7, 9825L,8529753,0, 17170246773L, 17170411366L, 2018-07-17 10:00:00, 566L,1,1,0,0
8.67,8.69,8.67,8.67,8.67, 4318L,3744174,0, 17170246773L, 17170411366L, 2018-07-17 10:01:00, 584L,1,1,0,0
8.67,8.67,8.66,8.67,8.67, 2199L,1905193,0, 17170246773L, 17170411366L, 2018-07-17 10:02:00, 604L,1,1,0,0
8.66,8.68,8.66,8.67,8.67, 1886L,1634896,0, 17170246773L, 17170411366L, 2018-07-17 10:03:00, 622L,1,1,0,0
8.67,8.67,8.66,8.67,8.67, 6949L,6019700,0, 17170246773L, 17170411366L, 2018-07-17 10:04:00, 641L,1,1,0,0
8.67,8.68,8.67,8.68,8.67, 1606L,1392890,0, 17170246773L, 17170411366L, 2018-07-17 10:05:00, 659L,1,1,0,0
8.67,8.68,8.67,8.68,8.68, 1292L,1120778,0, 17170246773L, 17170411366L, 2018-07-17 10:06:00, 676L,1,1,0,0
8.68,8.68,8.67,8.68,8.68, 1318L,1143718,0, 17170246773L, 17170411366L, 2018-07-17 10:07:00, 694L,1,1,0,0
8.68,8.69,8.68,8.69,8.68, 1424L,1237121,0, 17170246773L, 17170411366L, 2018-07-17 10:08:00, 710L,1,1,0,0
8.69,8.69,8.68,8.68,8.69, 1100L,955525,0, 17170246773L, 17170411366L, 2018-07-17 10:09:00, 727L,1,1,0,0
8.69,8.69,8.68,8.69,8.68, 460L,399364,0, 17170246773L, 17170411366L, 2018-07-17 10:10:00, 745L,1,1,0,0
8.68,8.69,8.68,8.68,8.69, 687L,596468,0, 17170246773L, 17170411366L, 2018-07-17 10:11:00, 761L,1,1,0,0
8.69,8.69,8.68,8.69,8.68, 1092L,948483,0, 17170246773L, 17170411366L, 2018-07-17 10:12:00, 779L,1,1,0,0
